Marca temporal,País,Provincia/Estado,Edad,¿En cuales de las siguientes redes sociales tiene iniciada sesión en este momento? ,¿Desde qué dispositivo realiza la prueba? ,"¿Qué sistema operativo utiliza en su dispositivo? (Celular, Tablet o Computadora Personal) ",Respuestas consulta 1,Respuestas consulta 2,Respuestas consulta 3
5/08/2016 13:02:29,Argentina,Bs As,Entre 31 y 45 años,"Amazon, Gmail, Facebook, Twitter",Computadora personal,GNU\Linux,"Atletismo Basico : Fundamentos De Pista Y Campo / Basic Athleticism: Fundamentos De Pista Y Campo (Spanish Edition)
Atletismo para Veteran@s (Spanish Edition)
La carga de entrenamiento y el rendimiento en atletismo: Estudios en Velocidad y Saltos (Spanish Edition)","Florencia En El Amazonas: Opera Vocal Score
Caballo de fuego 2. Congo (Spanish Edition)
Caballo de Fuego 3. Gaza (Spanish Edition)","Palermo: Travels in the City of Happiness: Art, Architecture, and History in Sicily's Ancient Capital
Amazon's Palermo Page
Palermo, City of Kings: The Heart of Sicily"
5/08/2016 13:12:51,Argentina,Buenos Aires,Entre 21 y 30 años,Gmail,Conputadora laboral,Windows,"Atletismo Basico : Fundamentos De Pista Y Campo / Basic Athleticism: Fundamentos De Pista Y Campo (Spanish Edition)Aug 2006

Atletismo para Veteran@s (Spanish Edition)Nov 16, 2014

La carga de entrenamiento y el rendimiento en atletismo: Estudios en Velocidad y Saltos (Spanish Edition)","Florencia En El Amazonas: Opera Vocal Score

Caballo de fuego 2. Congo (Spanish Edition)

Caballo de Fuego 3. Gaza (Spanish Edition)","Palermo: Travels in the City of Happiness: Art, Architecture, and History in Sicily's Ancient Capital

Amazon's Palermo Page

Palermo, City of Kings: The Heart of Sicily

Lonely Planet Sicily (Travel Guide)"
5/08/2016 13:19:07,Argentina,Mendoza,Entre 45 y 60 años,Gmail,Computadora personal,Windows,Atletismo Basico : Fundamentos De Pista Y Campo / Basic Athleticism: Fundamentos De Pista Y Campo (Spanish Edition),Atletismo para Veteran@s (Spanish Edition),La carga de entrenamiento y el rendimiento en atletismo: Estudios en Velocidad y Saltos (Spanish Edition)
5/08/2016 13:20:58,Argentina,Buenos Aires,Entre 31 y 45 años,"Amazon, Gmail, INTA :D",Computadora personal,Windows,Atletismo Basico : Fundamentos De Pista Y Campo / Basic Athleticism: Fundamentos De Pista Y Campo (Spanish Edition),Atletismo para Veteran@s (Spanish Edition),La carga de entrenamiento y el rendimiento en atletismo: Estudios en Velocidad y Saltos (Spanish Edition)
5/08/2016 13:23:18,Argentina,Buenos Aires,Entre 31 y 45 años,"Amazon, Gmail",PC o Notebook,Windows,Florencia En El Amazonas: Opera Vocal Score,Caballo de fuego 2. Congo (Spanish Edition),Caballo de Fuego 3. Gaza (Spanish Edition)
5/08/2016 13:25:47,Argetina,Buenos Aires,Entre 31 y 45 años,"Amazon, Gmail",PC o Notebook,Windows,"Palermo: Travels in the City of Happiness: Art, Architecture and History in Sicily's Ancient Capital",Amazon's Palermo Page,"Palermo, City of Kings: The Heart of Sicily"
5/08/2016 13:55:11,Argentina,Santa Fe,Entre 45 y 60 años,ninguna,PC o Notebook,Android,"Atletismo Basico : Fundamentos De Pista Y Campo / Basic Athleticism: Fundamentos De Pista Y Campo (Spanish Edition)
Atletismo para Veteran@s (Spanish Edition)
La carga de entrenamiento y el rendimiento en atletismo: Estudios en Velocidad y Saltos (Spanish Edition)","Florencia En El Amazonas: Opera Vocal Score
Caballo de fuego 2. Congo (Spanish Edition)
Caballo de Fuego 3. Gaza (Spanish Edition)","Palermo: Travels in the City of Happiness: Art, Architecture, and History in Sicily's Ancient Capital
Amazon's Palermo Page
Palermo, City of Kings: The Heart of Sicily"
5/08/2016 14:04:32,Argentina,Santiago del Estero,Entre 31 y 45 años,Facebook,PC o Notebook,Windows,"

Atletismo Basico : Fundamentos De Pista Y Campo / Basic Athleticism: Fundamentos De Pista Y Campo (Spanish Edition)Aug 2006
by Clareth Jaramillo Rodriguez
Atletismo para Veteran@s (Spanish Edition)Nov 16, 2014
by César Sanz
La carga de entrenamiento y el rendimiento en atletismo: Estudios en Velocidad y Saltos (Spanish Edition)Jan 17, 2012
by Pedro Jiménez Reyes and Juan José González Badillo
","Florencia En El Amazonas: Opera Vocal ScoreFeb 1, 2007
by Daniel Catan
Caballo de fuego 2. Congo (Spanish Edition)Nov 11, 2014
by Florencia Bonelli
Caballo de Fuego 3. Gaza (Spanish Edition)Dec 9, 2014
by Florencia Bonelli","Palermo: Travels in the City of Happiness: Art, Architecture, and History in Sicily's Ancient CapitalAug 25, 2015
by Allan Langdale

Amazon's Palermo Page 
Discover books, read about the author, find related products, and more.More about Palermo 
Bestselling Books:Blinky Palermo: Retrospective 1964-77 (Dia Foundation). 
Palermo, City of Kings: The Heart of SicilyMay 30, 2015
by Jeremy Dummett"
5/08/2016 16:32:18,Argentina,Buenos Aires,Entre 21 y 30 años,"Gmail, Twitter, Youtube",PC o Notebook,GNU\Linux,"- Atletismo mental: Técnicas para entrenar el cerebro y mejorar la memoria (Spanish Edition)
- Atletismo Basico : Fundamentos De Pista Y Campo / Basic Athleticism: Fundamentos De Pista Y Campo (Spanish Edition)
- Atletismo para Veteran@s (Spanish Edition)","- Florencia En El Amazonas: Opera Vocal Score
- Caballo de fuego 2. Congo (Spanish Edition)
- Caballo de fuego 3. Gaza (Spanish Edition)","- Palermo: Travels in the City of Happiness: Art, Architecture and History in Sicily's Ancient Capital
- Palermo, City of Kings: The Heart of Sicily
- Lonely Planet Sicily (Travel Guide)"
5/08/2016 16:45:01,Argentina,Buenos Aires,Entre 45 y 60 años,"LinkedIn, Yammer",PC o Notebook,Windows,"-Atletismo Basico : Fundamentos De Pista Y Campo / Basic Athleticism: Fundamentos De Pista Y Campo (Spanish Edition)
-Atletismo para Veteran@s (Spanish Edition)
-La carga de entrenamiento y el rendimiento en atletismo: Estudios en Velocidad y Saltos (Spanish Edition)","-Florencia En El Amazonas: Opera Vocal Score
-Caballo de fuego 2. Congo (Spanish Edition)
-Caballo de Fuego 3. Gaza (Spanish Edition)","-Palermo: Travels in the City of Happiness: Art, Architecture, and History in Sicily's Ancient Capital
-Amazon's Palermo Page
-Palermo, City of Kings: The Heart of Sicily"
5/08/2016 17:02:40,Argentina,Mendoza,Entre 31 y 45 años,"Gmail, Twitter",PC o Notebook,GNU\Linux,"Atletismo Basico : Fundamentos De Pista Y Campo / Basic Athleticism: Fundamentos De Pista Y Campo (Spanish Edition)
Atletismo para Veteran@s (Spanish Edition)
La carga de entrenamiento y el rendimiento en atletismo: Estudios en Velocidad y Saltos (Spanish Edition)","Florencia En El Amazonas: Opera Vocal Score
Caballo de fuego 2. Congo (Spanish Edition)
Caballo de Fuego 3. Gaza (Spanish Edition)","Palermo: Travels in the City of Happiness: Art, Architecture, and History in Sicily's Ancient Capital
Palermo, City of Kings: The Heart of Sicily
Lonely Planet Sicily (Travel Guide)"
5/08/2016 17:28:55,Argentina,Capital Federal,Entre 31 y 45 años,"Gmail, Facebook",PC o Notebook,GNU\Linux,"Atletismo mental: Técnicas para entrenar el cerebro y mejorar la memoria (Spanish Edition)
Product Details
Atletismo Basico : Fundamentos De Pista Y Campo / Basic Athleticism: Fundamentos De Pista Y Campo (Spanish Edition)
V copa del mundo De Atletismo Sport Shoes -Framed Postage Stamp Art 6937","Florencia En El Amazonas: Opera Vocal Score
Obsession (Year of Fire)
ALA Eye & Neck Lifting Cream, MiCo Michelle's Cosmetics by Florencia, Anti...","Palermo DTH-81 Digital Electronic BBQ Thermometer with Collapsible Internal Probe, Blue
5 Blade Spiralizer - Best Vegetable Maker, Spiral Slicer, Peeler, and Shredder You'll Ever Use! Makes Zucchini...
Palermo: Travels in the City of Happiness: Art, Architecture and History in Sicily's Ancient Capital"
